Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PAKLYZ-01A_vs_PAKLYZ-10A	3.36E+00	7.95E+00	5.63E+00	1.16E+01	3.30E+00	2.68E+00	1.24E+00	1.65E+00
PAKTCT-01A_vs_PAKTCT-11A	3.57E+00	4.05E+00	5.43E+00	4.87E+00	1.75E+00	2.27E+00	1.23E+00	1.87E+00
PARECB-01A_vs_PARECB-11A	2.17E+00	2.17E+00	2.36E+00	2.42E+00	9.23E-01	1.35E+00	8.47E-01	6.91E-01
PAREWI-01A_vs_PAREWI-11A	2.59E+00	3.26E+00	3.66E+00	4.23E+00	8.54E-01	1.83E+00	1.58E+00	1.38E+00
PARGRN-01A_vs_PARGRN-10A	1.50E+00	3.14E+00	3.78E+00	3.10E+00	1.19E+00	1.54E+00	1.89E+00	1.31E+00
PARIRN-01A_vs_PARIRN-10A	1.87E+00	2.88E+00	5.37E+00	4.70E+00	1.49E+00	2.72E+00	8.22E-01	1.67E+00
PARPFY-01A_vs_PARPFY-11A	2.02E+00	3.60E+00	4.02E+00	3.68E+00	1.25E+00	1.97E+00	1.42E+00	1.09E+00
PARRCL-01A_vs_PARRCL-11A	2.43E+00	2.48E+00	2.91E+00	2.89E+00	1.27E+00	1.73E+00	1.46E+00	1.26E+00
PARTKH-01A_vs_PARTKH-10A	2.73E+00	2.88E+00	3.16E+00	3.23E+00	1.21E+00	1.42E+00	1.39E+00	1.53E+00
PARUGK-01A_vs_PARUGK-10A	2.04E+00	2.25E+00	2.90E+00	2.64E+00	1.12E+00	1.21E+00	1.07E+00	9.22E-01
PARZBI-01A_vs_PARZBI-11A	2.99E+00	2.57E+00	3.73E+00	3.50E+00	1.11E+00	1.91E+00	1.56E+00	1.50E+00
PARZRH-01A_vs_PARZRH-10A	7.01E-01	5.54E+00	7.43E+00	5.10E+00	1.99E+00	2.47E+00	1.60E+00	1.43E+00
PASABD-01A_vs_PASABD-10A	2.12E+00	2.77E+00	3.08E+00	3.33E+00	9.79E-01	1.79E+00	1.10E+00	1.15E+00
